id,device_identifier,ts_generation,co2,humidity,pressure,temperature,battery
139327,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692241394635,543,78.5,1012.9,20.4,
139345,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692241994627,562,78.0,1012.8,20.2,
139364,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692242594583,558,80.0,1012.7,20.0,
139382,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692243194555,571,81.0,1012.6,19.8,
139401,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692243794531,557,82.0,1012.7,19.6,
139419,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692244394517,615,83.0,1012.7,19.4,
139438,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692244994473,555,83.0,1012.6,19.2,
139456,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692245594455,572,82.5,1012.8,19.0,
139475,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692246194420,651,83.5,1012.8,19.1,
139493,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692246794379,558,85.5,1012.7,19.1,
139513,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692247394369,531,85.5,1013.0,19.4,
139531,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692247994335,532,84.0,1013.2,20.4,
139549,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692248594299,517,82.0,1013.2,21.0,
139568,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692249194296,522,81.0,1013.4,21.4,
139586,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692249794262,509,79.0,1013.4,22.0,
139604,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692250394204,498,76.5,1013.4,22.7,
139622,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692250994183,488,70.5,1013.5,24.1,
139641,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692251594166,492,66.5,1013.3,25.5,
139659,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692252194129,504,62.5,1013.1,26.7,
139677,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692252794101,487,60.0,1012.9,27.3,
139694,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692253394043,472,57.0,1012.9,28.2,
139713,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692253994020,491,56.0,1012.9,28.6,
139731,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692254594006,463,53.0,1012.8,29.0,
139750,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692255193990,472,53.0,1012.6,29.9,
139768,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692255793943,481,52.5,1012.6,30.7,
139788,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692256393939,452,50.0,1012.5,31.6,
139806,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692256993909,484,46.5,1012.6,32.1,
139825,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692257593832,470,47.5,1012.6,32.6,
139843,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692258193845,454,44.0,1012.5,32.8,
139862,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692258793825,473,46.5,1012.5,33.4,
139880,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692259393783,468,43.5,1012.4,34.2,
139900,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692259993767,456,39.5,1012.3,34.7,
139918,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692260593733,455,39.5,1012.4,35.1,
139937,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692261193684,455,39.0,1012.2,35.6,
139955,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692261793683,464,39.0,1012.3,35.7,
139974,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692262393659,474,40.0,1012.3,35.4,
139992,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692262993649,430,40.5,1012.2,35.3,
140011,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692263593609,448,41.5,1012.2,35.2,
140029,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692264193576,443,41.5,1012.1,35.7,
140048,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692264793535,451,41.5,1012.0,35.7,
140066,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692265393520,439,42.0,1012.1,35.9,
140084,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692265993509,443,40.0,1012.0,35.9,
140102,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692266593467,452,41.0,1011.9,35.8,
140121,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692267193462,446,39.0,1011.8,36.2,
140137,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692267793441,451,39.5,1011.7,36.3,
140156,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692268393425,450,40.5,1011.6,36.6,
140174,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692268993369,471,38.5,1011.5,36.8,
140193,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692269593359,450,40.5,1011.2,36.7,
140211,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692270193319,437,40.5,1011.2,36.8,
140229,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692270793323,445,40.5,1011.1,37.1,
140246,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692271393262,466,40.0,1011.0,37.3,
140265,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692271993255,460,38.5,1010.8,37.6,
140283,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692272593263,433,37.5,1010.6,37.8,
140302,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692273193215,458,37.5,1010.6,37.1,
140319,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692273793191,422,40.0,1010.3,35.7,
140339,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692274393159,442,41.5,1010.4,35.4,
140357,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692274993145,440,42.5,1010.4,36.0,
140375,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692275593110,447,43.5,1010.4,34.9,
