id,ts_generation,device_identifier,line,electrical_conductivity,humidity,temperature,battery
190981,1693988055704,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,198,23.29,20.2,NULL
191000,1693988657078,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,198,23.29,20.2,NULL
191017,1693989258453,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,198,23.29,20.2,NULL
191034,1693989859799,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,198,23.29,20.2,NULL
191052,1693990461168,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,198,23.29,20.2,NULL
191069,1693991062529,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,198,23.29,20.2,NULL
191086,1693991663904,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,198,23.29,20.2,NULL
191104,1693992265276,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,198,23.29,20.2,NULL
191121,1693992866656,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,198,23.29,20.3,NULL
191139,1693993468014,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,197,23.24,20.3,NULL
191155,1693994069387,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,197,23.24,20.3,NULL
191173,1693994670773,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,197,23.29,20.3,NULL
191189,1693995272133,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,197,23.24,20.3,NULL
191206,1693995873507,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,197,23.24,20.4,NULL
191223,1693996474863,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,197,23.24,20.4,NULL
191240,1693997076252,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,196,23.24,20.4,NULL
191257,1693997677605,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,196,23.24,20.4,NULL
191275,1693998278995,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,196,23.24,20.5,NULL
191292,1693998880352,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,196,23.24,20.5,NULL
191309,1693999481732,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,196,23.24,20.5,NULL
191326,1694000083086,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,196,23.24,20.6,NULL
191342,1694000684456,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,196,23.2,20.6,NULL
191359,1694001285817,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,195,23.24,20.7,NULL
191376,1694001887226,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,195,23.24,20.7,NULL
191394,1694002488609,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,195,23.2,20.7,NULL
191412,1694003089985,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,194,23.24,20.8,NULL
191429,1694003691342,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,194,23.2,20.8,NULL
191448,1694004292711,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,193,23.2,20.9,NULL
191463,1694004894089,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,193,23.2,20.9,NULL
191480,1694005495467,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,193,23.2,21,NULL
191497,1694006096832,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,193,23.2,21,NULL
191513,1694006698195,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,193,23.2,21,NULL
191530,1694007299576,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,193,23.2,21.1,NULL
191549,1694007900956,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,192,23.2,21.1,NULL
191567,1694008502315,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,192,23.2,21.1,NULL
