id,ts_generation,device_identifier,line,current_volume
32802,1688080182387,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32811,1688080782386,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32820,1688081382177,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32829,1688081982117,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32838,1688082582816,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32847,1688083183331,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32856,1688083783956,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32865,1688084383279,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32874,1688084983750,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32883,1688085582820,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32892,1688086182953,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32901,1688086782554,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32910,1688087382031,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32919,1688087981856,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32928,1688088582880,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32937,1688089182006,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32946,1688089782000,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32955,1688090382895,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32964,1688090982619,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32973,1688091582355,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32982,1688092182943,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32991,1688092782825,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
33000,1688093383790,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
33010,1688093983459,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
33019,1688094582618,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
33028,1688095183012,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
33037,1688095782073,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
33045,1688096381461,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
33054,1688096981537,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
33063,1688097582449,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
33071,1688098183427,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
33080,1688098783736,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
33089,1688099384711,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
33098,1688099983897,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
33107,1688100584263,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
33116,1688101183564,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
33125,1688101782858,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
